score total:,,62
Question 10.1: Is your source code stored in a repository under revision control?,Github,y
Question 10.2: Is each source code release a snapshot of the repository?,"Yes, source code .zip files: https://github.com/lyonva/ClassMateBot/releases",y
Question 10.3: Are releases tagged in the repository?,Yes: https://github.com/lyonva/ClassMateBot/tags,y
"Question 10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully) *","Yes, main CI status is always Complete: https://app.codecov.io/gh/lyonva/ClassMateBot/commits",y
Question 10.5: Do you back-up your repository?,No evidence,n
Question 11.1: Do you provide publicly-available instructions for building your software from the source code?,Yes: https://github.com/lyonva/ClassMateBot#arrow_down-installation,y
"Question 11.2: Can you build, or package, your software using an automated tool? *e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)?","Yes, codecov",y
Question 11.3: Do you provide publicly-available instructions for deploying your software?,There are no docs to how to deploy the repository,n
Question 11.4: Does your documentation list all third-party dependencies?,There is a requirements file ,y
Question 11.5: Does your documentation list the version number for all third-party dependencies?,The requirements file lists all the version numbers,y
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",no,n
"Question 11.7: Can you download dependencies using a dependency management tool or package manager? *e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",Yes PIP is used,y
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,"Yes, codecov",y
Question 12.1: Do you have an automated test suite for your software?,no,n
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No periodical schedule to main.yml,n
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes : https://github.com/lyonva/ClassMateBot/blob/main/.github/workflows/main.yml,y
Question 12.4: Are your test results publicly visible?,Yes: https://app.codecov.io/gh/lyonva/ClassMateBot/commits,y
Question 12.5: Are all manually-run tests documented?,No manually test run document is available,n
"Question 13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software? * e.g. release announcements, publications, workshops, conference presentations",No such resources,n
Question 13.2: Does your website state how many projects and users are associated with your project?,Yes: Photos of all contributors are shown in readme,y
Question 13.3: Do you provide success stories on your website?,No evidence of success stories,n
Question 13.4: Do you list your important partners and collaborators on your website?,Yes collaborators are mentioned,y
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?,No evidence,n
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,"NA, no evidence of third party publications",n
Question 13.7: Can users subscribe to notifications to changes to your source code repository?,Github by default allows subscriptions,y
"Question 13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",no,n
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes: https://github.com/lyonva/ClassMateBot/blob/main/CONTRIBUTING.md,y
Question 14.2: Do you have a contributions policy?,Yes: https://github.com/lyonva/ClassMateBot/blob/main/CONTRIBUTING.md,y
Question 14.3: Is your contributions' policy publicly available?,Yes : https://github.com/lyonva/ClassMateBot/blob/main/CONTRIBUTING.md,y
Question 14.4: Do contributors keep the copyright/IP of their contributions?,no,n
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,no,n
Question 15.2: Does each of your source code files include a copyright statement?,no,n
Question 15.3: Does your website and documentation clearly state the licence of your software?,Yes: https://github.com/lyonva/ClassMateBot/blob/main/LICENSE,y
Question 15.4: Is your software released under an open source licence?,"Yes, MIT License",y
Question 15.5: Is your software released under an OSI-approved open-source licence?,yes,y
Question 15.6: Does each of your source code files include a licence header?,no,n
Question 15.7: Do you have a recommended citation for your software?,https://github.com/lyonva/ClassMateBot/blob/main/CITATION.md,y
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No evidence as such,n
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",Not a funded project,n
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",No such announcements,n
