Question,"Score ",Evidence
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Yes,"https://github.com/CSC510-Group-25/ClassMateBot/blob/main/README.md#computer-commands  Again good documentation"
Do you store your documentation under revision control with your source code?,Yes,Yes github
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,"Yes its there in releases section  https://github.com/CSC510-Group-25/ClassMateBot/releases"
Does your software describe how a user can get help with using your software?,No,Github issues section but the documentation doesnt say anything about it
"Does your website and documentation describe what support, if any, you provide to users and developers?",No,No evidence again
Does your project have an e-mail address or forum that is solely for supporting users?,No,Github issues
Are e-mails to your support e-mail address received by more than one person?,No,No evidence
Does your project have a ticketing system to manage bug reports and feature requests?,Yes,Yes github issues
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,"Yes publicly visible   https://github.com/CSC510-Group-25/ClassMateBot/issues"
Is your software’s architecture and design modular?,Yes,Good repo design
Does your software use an accepted coding standard or convention?,Yes,There is evidence of use of pylint and IDEs so maybe some standards might be implemented but no concrete evidence
"Does your software allow data to be imported and exported using open data formats? *
e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Yes,"Yes, sql scaffolding is present"
"Does your software allow communications using open communications protocols? *
e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",Yes,No there are no uses of open communication protocol
"Is your software cross-platform compatible? *
e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Yes,Its a discord bot which itself is platform independent
Does your software adhere to appropriate accessibility conventions or standards?,No,No evidence
Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,Great documentation
Is your source code stored in a repository under revision control?,Yes,Yes github
Is each source code release a snapshot of the repository?,Yes,"Yes   Releases have snapshot  https://github.com/CSC510-Group-25/ClassMateBot/releases"
Are releases tagged in the repository?,Yes,"Yes  https://github.com/CSC510-Group-25/ClassMateBot/releases"
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully) *",Yes,"Main Branch is present but it seems build is failing  Tests are running  https://github.com/CSC510-Group-25/ClassMateBot/tree/main"
Do you back-up your repository?,No,"No evidence, but hosted on github"
Do you provide publicly-available instructions for building your software from the source code?,Yes,Yes documentation
"Can you build, or package, your software using an automated tool? *
e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",Yes,"Yes, github workflows  https://github.com/CSC510-Group-25/ClassMateBot/actions/workflows/main.yml"
Do you provide publicly-available instructions for deploying your software?,Yes,Yes
Does your documentation list all third-party dependencies?,Yes,Yes requirements.txt file
Does your documentation list the version number for all third-party dependencies?,Yes,Yes requirements.txt file
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",No,No evidence
"Can you download dependencies using a dependency management tool or package manager? *
e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",Yes,Yes pip package manager
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,Yes there are automated tests running as evidenced by codecov badge and test python file
Do you have an automated test suite for your software?,Yes,Yes there are a bunch of automated tests in the repository
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,The source code has not been built in the last 2 years
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,Yes the github actions show that pytest step runs every build
Are your test results publicly visible?,Yes,Yes codecov report is available publicly
Are all manually-run tests documented?,No,No evidence
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software? *
e.g. release announcements, publications, workshops, conference presentations",No,There is a screenshot where a release webhook is present but couldnt really find it
Does your website state how many projects and users are associated with your project?,Yes,Yes on readme file
Do you provide success stories on your website?,No,No evidence
Do you list your important partners and collaborators on your website?,Yes,Yes all collaborators are there on the readme file
Do you list your project's publications on your website or link to a resource where these are available?,Yes,Yes release section of github
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,"No, but there are citation instructions on the repository"
Can users subscribe to notifications to changes to your source code repository?,Yes,Its github repository so people can subscribe if needed
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,There is contributing.md file which specifies how to contribute to repository. People can raise issues using the github issues section
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,Yes its an open source project with MIT license so anyone can really do it
Do you have a contributions policy?,Yes,"Yes, its on repository contribution.md file"
Is your contributions' policy publicly available?,Yes,"Yes, publicly available on GitHub"
Do contributors keep the copyright/IP of their contributions?,No,No evidence
 Does your website and documentation clearly state the copyright owners of your software and documentation?,No,Not evidence
Does each of your source code files include a copyright statement?,No,Not sure
Does your website and documentation clearly state the licence of your software?,Yes,Yes MIT license
Is your software released under an open source licence?,Yes,Yes MIT
Is your software released under an OSI-approved open-source licence?,Yes,Yes MIT
Does each of your source code files include a licence header?,No,No it doenst have it
Do you have a recommended citation for your software?,Yes,Yes there is citation.md file
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Yes,No such thing. But there is a list of future improvements with no specific timelines
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,No evidence
"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,No evidence
